MW  |The Galaxy                   |The MW                          | |G  |S(B)bc   |17|45|40.0|-|29|00|28|       | |Position refers to Sgr A*
M31 |Andromeda IX                 |                                | |A  |dSph     |00|52|53.0|+|43|11|45|321    | |
M31 |NGC 205                      |M110,UGC 426                    | |A  |dE/dSph  |00|40|22.1|+|41|41|07|322    | |
M31 |Andromeda XVII               |                                | |A  |dSph     |00|37|07.0|+|44|19|20|323    | |
M31 |Andromeda I                  |                                | |A  |dSph     |00|45|39.8|+|38|02|28|324    | |
M31 |Andromeda XXVII              |                                | |A  |dSph     |00|37|27.1|+|45|23|13|325    | |Tidally disrupting? Remnant?
M31 |Andromeda III                |                                | |A  |dSph     |00|35|33.8|+|36|29|52|324    | |
M31 |Andromeda XXV                |                                | |A  |dSph     |00|30|08.9|+|46|51|07|325    | |
M31 |Andromeda XXVI               |                                | |A  |dSph     |00|23|45.6|+|47|54|58|325    | |
M31 |Andromeda XI                 |                                | |A  |dSph     |00|46|20.0|+|33|48|05|326    | |
M31 |Andromeda V                  |                                | |A  |dSph     |01|10|17.1|+|47|37|41|327    | |
M31 |Andromeda X                  |                                | |A  |dSph     |01|06|33.7|+|44|48|16|328    | |
M31 |Andromeda XXIII              |                                | |A  |dSph     |01|29|21.8|+|38|43|08|325    | |
M31 |Andromeda XX                 |                                | |A  |dSph     |00|07|30.7|+|35|07|56|329    | |
M31 |Andromeda XII                |                                | |A,L|dSph     |00|47|27.0|+|34|22|29|326    | |Unbound to M31?
M31 |NGC 147                      |UGC 326,DDO 3                   | |A  |dE/dSph  |00|33|12.1|+|48|30|32|330    | |Binary w/NGC 185? Tidal stream
M31 |Andromeda XXI                |                                | |A  |dSph     |23|54|47.7|+|42|28|15|331    | |
M31 |Andromeda XIV                |                                | |A,L|dSph     |00|51|35.0|+|29|41|49|332    | |Unbound to M31? In Pisces
M31 |Andromeda XV                 |                                | |A  |dSph     |01|14|18.7|+|38|07|03|333    | |
M31 |Andromeda XIII               |                                | |A  |dSph     |00|51|51.0|+|33|00|16|326    | |In Pisces
M31 |Andromeda II                 |                                | |A  |dSph     |01|16|29.8|+|33|25|09|324    | |In Pisces
M31 |NGC 185                      |UGC 396                         | |A  |dE/dSph  |00|38|58.0|+|48|20|15|334    | |Binary w/NGC 147?
M31 |Andromeda XXIX               |                                | |A  |dSph     |23|58|55.6|+|30|45|20|335    | |In Pegasus
M31 |Andromeda XIX                |                                | |A  |dSph     |00|19|32.1|+|35|02|37|329    | |
M31 |Triangulum                   |M33,NGC 598,UGC 1117            | |A  |Sc       |01|33|50.9|+|30|39|37|       |a|
M31 |Andromeda XXIV               |                                | |A  |dSph     |01|18|30.0|+|46|21|58|325    | |
M31 |Andromeda VII                |Casseopia dSph                  | |A  |dSph     |23|26|31.7|+|50|40|33|336    | |
M31 |Andromeda XXII               |                                | |A  |dSph     |01|27|40.0|+|28|05|25|331    | |M33 satellite? In Pisces
M31 |IC 10                        |UGC 192                         | |A  |dIrr     |00|20|17.3|+|59|18|14|337    | |
M31 |LGS 3 (Local Group Suspect 3)|Pisces (I)                      | |A  |dIrr/dSph|01|03|55.0|+|21|53|06|338,339| |
M31 |Andromeda VI                 |Pegasus dSph                    | |A  |dSph     |23|51|46.3|+|24|34|57|336,340| |
M31 |Andromeda XVI                |                                | |A,L|dSph     |00|59|29.8|+|32|22|36|333    | |In Pisces
Rest|Andromeda XXVIII             |                                | |A,L|dSph?    |22|32|41.2|+|31|12|58|341    | |In Pegasus
Rest|IC 1613                      |DDO 8,UGC 668                   | |L  |dIrr     |01|04|47.8|+|02|07|04|342    | |
Rest|Phoenix                      |                                | |L,G|dIrr/dSph|01|51|06.3|-|44|26|41|343    | |
Rest|NGC 6822                     |IC 4895,DDO 209,Barnard's Galaxy| |L,G|dIrr     |19|44|56.6|-|14|47|21|344    | |Polar ring morph.
Rest|Cetus                        |                                | |L  |dSph     |00|26|11.0|-|11|02|40|345    | |Isolated dSph
Rest|Pegasus dIrr                 |UGC 12613,DDO 216               | |L,A|dIrr/dSph|23|28|36.3|+|14|44|35|346    |b|
Rest|Leo T                        |                                | |L,G|dIrr/dSph|09|34|53.4|+|17|03|05|347    | |
Rest|WLM (Wolf-Lundmark-Melotte)  |UGCA 444,DDO 221                | |L  |dIrr     |00|01|58.2|-|15|27|39|348,349| |Defines R_LG
Rest|Leo A                        |Leo III,UGC 5364,DDO 69         | |L  |dIrr     |09|59|26.5|+|30|44|47|350    | |Defines R_LG
Rest|Andromeda XVIII              |                                | |L  |dSph     |00|02|14.5|+|45|05|20|329    | |Isolated dSph
Rest|Aquarius                     |DDO 210                         | |L  |dIrr/dSph|20|46|51.8|-|12|50|53|351    | |Defines R_LG
Rest|Tucana                       |                                | |L  |dSph     |22|41|49.6|-|64|25|10|352    | |Isolated dSph; defines R_LG
Rest|Sagittarius dIrr             |UKS 1927-177                    | |L  |dIrr     |19|29|59.0|-|17|40|41|353,354| |Defines R_LG
Rest|UGC 4879                     |VV 124                          | |L  |dIrr/dSph|09|16|02.2|+|52|50|24|355    | |Defines R_LG
Rest|NGC 3109                     |DDO 236,UGCA 194                | |N  |dIrr     |10|03|06.9|-|26|09|35|356    | |Loose NGC 3109 subgroup. Interacting with Antlia?
Rest|Sextans B                    |UGC 5373,DDO 70                 | |N  |dIrr     |10|00|00.1|+|05|19|56|346    |e|Loose NGC 3109 subgroup
Rest|Antlia                       |                                | |N  |dIrr     |10|04|04.1|-|27|19|52|357    | |Loose NGC 3109 subgroup. Interacting with NGC 3109?
Rest|Sextans A                    |UGCA 205,DDO 75                 | |N  |dIrr     |10|11|00.8|-|04|41|34|350    | |Loose NGC 3109 sub-group
Rest|HIZSS 3(A)                   |                                | |N  |(d)Irr?  |07|00|29.3|-|04|12|30|358    | |Zone of obscuration. Binary with B?
Rest|HIZSS 3B                     |                                | |N  |(d)Irr?  |07|00|29.3|-|04|12|30|358    | |Zone of obscuration. Binary with A?
Rest|KKR 25                       |                                | |N  |dIrr/dSph|16|13|48.0|+|54|22|16|359    | |
Rest|ESO 410- G 005               |UKS 0013-324                    | |N  |dIrr/dSph|00|15|31.6|-|32|10|48|360,361| |NGC 55 sub-group, forming "bridge" to Sculptor?
Rest|NGC 55                       |                                | |N  |Irr      |00|14|53.6|-|39|11|48|362    | |NGC 55 sub-group, forming "bridge" to Sculptor?
Rest|ESO 294- G 010               |                                | |N  |dIrr/dSph|00|26|33.4|-|41|51|19|360    | |NGC 55 sub-group, forming "bridge" to Sculptor?
Rest|NGC 300                      |                                | |N  |Sc       |00|54|53.5|-|37|41|04|362    | |NGC 55 sub-group, forming "bridge" to Sculptor?
Rest|IC 5152                      |                                | |N  |dIrr     |22|02|41.5|-|51|17|47|363    | |
Rest|KKH 98                       |                                | |N  |dIrr     |23|45|34.0|+|38|43|04|364    | |
Rest|UKS 2323-326                 |UGCA 438                        | |N  |dIrr     |23|26|27.5|-|32|23|20|354    | |NGC 55 sub-group, forming "bridge" to Sculptor?
Rest|KKR 3                        |KK 230                          | |N  |dIrr     |14|07|10.5|+|35|03|37|365    | |Member of the Canes Venatici I cloud
Rest|GR 8                         |UGC 8091,VV 558,DDO 155         | |N  |dIrr     |12|58|40.4|+|14|13|03|366    | |Gibson Reaves gave this galaxy his initials
Rest|UGC 9128                     |DDO 187                         | |N  |dIrr     |14|15|56.5|+|23|03|19|351    | |
Rest|UGC 8508                     |                                | |N  |dIrr     |13|30|44.4|+|54|54|36|367    | |
Rest|IC 3104                      |ESO 020- G 004,UKS 1215-794     | |N  |dIrr     |12|18|46.0|-|79|43|34|368    | |
Rest|DDO 125                      |UGC 7577                        | |N  |dIrr     |12|27|40.9|+|43|29|44|351    | |
Rest|UGCA 86                      |                                | |N  |dIrr     |03|59|48.3|+|67|08|19|369    | |Companion of IC 342
Rest|DDO 99                       |UGC 6817                        | |N  |dIrr     |11|50|53.0|+|38|52|49|351    | |
Rest|IC 4662                      |ESO 102- G 014                  | |N  |dIrr     |17|47|08.8|-|64|38|30|370    | |
Rest|DDO 190                      |UGC 9240                        | |N  |dIrr     |14|24|43.4|+|44|31|33|351    | |
Rest|KKH 86                       |                                | |N  |dIrr     |13|54|33.5|+|04|14|35|364    | |
Rest|NGC 4163                     |UGC 7199,NGC 4167               |*|N  |dIrr     |12|12|09.1|+|36|10|09|334    | |
Rest|DDO 113                      |UGCA 276,KDG 90                 | |N  |dIrr     |12|14|57.9|+|36|13|08|351    | |
